Implementation,MessageSize,ThreadCount,CPU_Cycles,CacheMisses,L1_Misses,LLC_Misses,ContextSwitches
TwoCopy,512,1,8009860700,4080333,8677040,18567,86
TwoCopy,512,2,16133189891,5183404,16543612,48640,56
TwoCopy,512,4,30471386275,5500720,32024651,95493,415
TwoCopy,512,8,48070143991,13594204,76598075,95673,50473
TwoCopy,4096,1,7939529782,17740077,24346064,52142,17
TwoCopy,4096,2,15966815193,6113436,46507726,24673,113
TwoCopy,4096,4,30644170476,13164054,79990358,119098,577
TwoCopy,4096,8,49607817006,49395198,170388005,269361,68973
TwoCopy,16384,1,7786320011,3083319,35809079,12725,28
TwoCopy,16384,2,15958022665,10322719,74360621,208735,425
TwoCopy,16384,4,32015685184,6475221,151497849,74811,550
TwoCopy,16384,8,52569755664,40226375,346341342,293552,79515
TwoCopy,65536,1,7894324167,6560262,79512718,26062,35
TwoCopy,65536,2,16314367457,7155754,161472173,69230,73
TwoCopy,65536,4,31571035780,14005905,315582862,235565,1136
TwoCopy,65536,8,45905006893,154770526,559269154,1954602,138638
OneCopy,512,1,8107474549,7313746,18568041,15338,48
OneCopy,512,2,15523099611,11605939,35301371,63683,119
OneCopy,512,4,29690301421,20485723,74304733,170586,832
OneCopy,512,8,40951778954,44832393,93845702,316136,18813
OneCopy,4096,1,8049830752,7814812,32464373,49557,48
OneCopy,4096,2,15468097192,8736881,64972812,52246,77
OneCopy,4096,4,31873598412,16950149,148214050,153286,621
OneCopy,4096,8,47613392797,122420943,306932954,729484,43529
OneCopy,16384,1,7925655373,10104231,107210787,57397,29
OneCopy,16384,2,15711776573,28984672,214993355,80058,234
OneCopy,16384,4,27929400861,117369827,395499157,1260782,2551
OneCopy,16384,8,43994100154,243377766,651344557,1896319,25493
OneCopy,65536,1,8087521280,20868291,186862062,77853,92
OneCopy,65536,2,15852383941,30025314,378992247,337688,385
OneCopy,65536,4,27808718328,135591226,594880627,2096682,2406
OneCopy,65536,8,38470241854,277967941,764636294,4260849,137545
ZeroCopy,512,1,5543832579,2619856,28565335,19664,62859
ZeroCopy,512,2,11826627889,2258239,62749112,18843,135930
ZeroCopy,512,4,21904374213,10619815,113725835,90736,197167
ZeroCopy,512,8,36477645118,3714266,179955865,32968,252705
ZeroCopy,4096,1,3925110932,3192451,10491604,39766,13195
ZeroCopy,4096,2,10425304362,11303323,34753878,183476,16546
ZeroCopy,4096,4,26372536408,19006091,125046975,287238,17431
ZeroCopy,4096,8,33430650620,33533905,159380206,313556,19524
ZeroCopy,16384,1,5474460237,5557697,52183805,42347,6277
ZeroCopy,16384,2,15705423461,10427545,194934229,92146,514
ZeroCopy,16384,4,27883722256,6870557,325224119,141227,7114
ZeroCopy,16384,8,32302348023,67015660,275863021,694561,12146
ZeroCopy,65536,1,8036426172,8661379,145905654,51718,70
ZeroCopy,65536,2,15449754337,20771739,270739060,151288,725
ZeroCopy,65536,4,25547297110,64599897,356581096,1159275,5434
ZeroCopy,65536,8,29920066848,120803194,389189404,1646497,15493
